Date,Open,High,Low,Close,Volume,Open_10,High_10,Low_10,Close_10,Volume_10,Open_20,High_20,Low_20,Close_20,Volume_20,position_10_20,signal_10_20,Open_last_time,growth,10000,rate
0,,,,,,,,,,,,,,,,,,,,10000,0
2/8/2019,100.9445074,102.2886285,100.8188008,102.1822586,21461100,101.4231601,102.3650112,100.5190201,101.6832802,33208330,101.5894836,102.4897543,100.647147,101.8423515,31436635,0,-1,,-0.002198358,9978.016416,-0.002198358
5/15/2019,121.1185083,123.5065653,120.5726609,122.8340073,24722700,121.9274877,123.5142113,121.0153991,122.5059357,28302260,122.4329606,123.6283672,121.5452529,122.7561749,26512345,0,-1,104.3483132,0.160713619,11581.61955,0.158161955
6/5/2019,121.7910696,122.6878162,121.06978,122.6488266,24926100,122.0016078,122.7404453,120.7958809,121.7842461,23478390,122.0958535,123.3068042,121.172492,122.3018467,25008530,0,-1,123.7697507,-0.015986791,11396.46662,0.139646662
8/7/2019,130.4075732,132.2205501,128.4971334,131.8599091,33414500,134.3893141,135.4887965,132.7449659,134.1524597,28965560,134.6934217,135.5887004,133.2581496,134.3819984,26686545,0,-1,130.4953281,-0.000672475,11388.80278,0.138880278
10/8/2019,134.0593378,134.7243463,132.6315035,132.6804047,25550500,134.6627305,135.6710098,133.1752464,134.4280167,21847030,134.9375381,135.8030347,133.616797,134.7047821,23697455,0,-1,132.0153853,0.015482684,11565.13201,0.156513201
2/27/2020,160.7023458,164.3528743,155.4479229,155.6447144,93174900,175.502913,177.7473354,172.333783,174.3967453,48743540,176.1408384,178.202146,173.3365267,175.6510475,43912490,0,-1,137.8440613,0.165827126,13482.94462,0.348294462
7/27/2020,198.7929918,201.2597734,198.1910965,201.1413727,30160900,203.5094864,205.947654,200.3727244,203.5568497,39327300,204.1883469,206.7079188,201.4171645,204.3842102,35609755,0,-1,149.4260155,0.330377386,17937.40462,0.793740462
9/15/2020,206.1477694,207.4929431,204.6740082,206.5038452,21823900,212.1822615,215.148565,207.4276673,210.481012,39775530,213.3465437,216.3704918,210.1850501,213.0823402,35536190,0,-1,211.9952116,-0.027582898,17442.63902,0.744263902
10/30/2020,201.2814038,202.0627844,197.4436995,200.2626343,36953700,209.5878538,211.7094668,206.5542908,208.5008347,30772910,210.9538,213.3543402,208.6046934,210.9221497,28565240,0,-1,204.9608577,-0.017951983,17129.50905,0.712950905
11/30/2020,212.3202768,212.9747789,209.0873662,212.2905273,33064800,211.3954874,213.0772256,209.5138773,211.3873672,25336910,212.0949998,214.3201109,209.7625342,212.0246696,28672150,0,-1,214.841955,-0.011737364,16928.45377,0.692845377
1/13/2021,212.2409344,214.9581481,212.1516711,214.5416412,20087100,216.2473448,218.1047794,214.037867,216.0499985,25511660,217.4031576,219.4331441,215.5407711,217.6476089,26869610,0,-1,212.1913504,0.000233676,16932.40954,0.693240954
2/25/2021,230.6808957,233.1757586,226.5062187,227.6095276,39542200,237.4363074,239.5011297,235.185323,237.7356216,25543990,237.841623,240.3119801,235.6376701,238.183667,27237865,0,-1,229.9326331,0.003254269,16987.51215,0.698751215
5/5/2021,247.5585286,247.9958784,244.3380707,244.9841461,21901300,254.0630682,255.4208396,251.2213058,253.1853912,29056750,254.7290319,256.3854876,252.7540104,254.6614388,26502265,0,-1,231.1579901,0.070949477,18192.76725,0.819276725
9/16/2021,303.2053029,304.7524602,300.2107813,304.6626282,19550800,300.1858135,301.4764516,297.780214,299.697702,19622050,300.2866261,302.2689994,298.1570245,300.3994171,21487975,0,-1,250.0629124,0.212516082,22059.02287,1.205902287
