Date,Open,High,Low,Close,Volume,Open_10,High_10,Low_10,Close_10,Volume_10,Open_20,High_20,Low_20,Close_20,Volume_20,position_10_20,signal_10_20,Open_last_time,growth,10000,rate
0,,,,,,,,,,,,,,,,,,,,10000,0
2/4/2019,36.11435868,37.43352469,35.89325558,37.06087875,52859200,36.00629712,37.03008001,35.18523408,36.28851395,97522960,36.18715464,37.14622165,35.4465831,36.49918327,81123540,0,-1,,0.079453268,10794.53268,0.079453268
3/11/2019,37.69841331,40.30216318,37.22591013,40.07337189,85972800,38.41278642,39.04809499,37.75342691,38.5287384,45795400,38.5436151,39.17714888,37.95109547,38.53277588,56071760,0,-1,37.97014331,-0.007156412,10717.28255,0.071728255
4/29/2019,44.36818977,44.87550891,43.64451065,44.59698105,39192000,46.43651908,46.84983585,45.59570945,46.28407402,42722480,46.64703206,47.10573426,45.99435397,46.6156971,45374300,0,-1,42.54531353,0.042845524,11176.47013,0.117647013
8/7/2019,37.32068167,38.43358026,37.14640305,38.31407547,37256000,41.35898863,41.84423237,40.53738577,41.09458237,36447560,41.76891816,42.29399735,41.15109785,41.73729954,38553180,0,-1,36.72315182,0.016271203,11358.32475,0.135832475
9/30/2019,43.06469985,43.4833826,42.75068398,43.38120651,18618400,44.01172241,44.48074938,43.22444636,43.84848557,27351360,44.09172108,44.71513798,43.58867681,44.17620602,31738840,0,-1,41.23201684,0.044448056,11863.1802,0.18631802
2/4/2020,61.36009888,61.82647732,60.85880448,61.63444138,27154400,61.22218293,62.01253405,60.25400849,61.27430725,30856600,61.28839827,61.92836086,60.52772555,61.29637909,29734820,0,-1,46.45653835,0.320806523,15668.96579,0.566896579
3/5/2020,69.00059276,70.67258123,67.75284244,68.19953918,54032800,67.67061256,70.04465618,65.65201146,67.85726089,81492640,68.15261845,70.10767024,66.77994045,68.71731091,68972980,0,-1,66.66984376,0.034959569,16216.74608,0.621674608
9/17/2020,121.1956628,125.7658767,120.2216837,124.5046997,79251200,127.5387794,130.2963923,122.4615915,125.4522118,85545480,128.3434393,131.0735063,124.8573687,127.8355568,71588100,0,-1,63.79747084,0.899693847,30806.85276,2.080685276
10/27/2020,132.9209011,134.27948,131.7770937,133.8274536,25052000,136.8118255,138.2398293,134.5237217,135.8917877,26439720,137.0012511,138.7542917,135.0725193,136.6869545,37990600,0,-1,132.1117477,0.006124764,30995.53748,2.099553748
11/24/2020,131.2876195,131.4824077,128.7153143,129.4420471,34650000,133.1913644,135.1063601,130.8967671,133.0245392,39684760,133.5622267,135.6740171,130.4397448,132.7940315,39970480,0,-1,136.1300311,-0.035571956,29892.96557,1.989296557
12/18/2020,133.6896116,133.9494263,130.6069348,132.6204224,34206400,132.9191965,133.8067778,130.9496717,132.2986618,25732280,133.0533993,134.11245,131.0643911,132.5696777,26591940,0,-1,135.7480688,-0.015163804,29439.67448,1.943967448
2/1/2021,130.4345605,132.6079316,128.9306848,132.2706757,21720400,132.9034588,134.9154491,130.8752347,133.1550217,25727960,133.0121284,135.1095541,130.7313427,132.7534492,31856880,0,-1,134.7987752,-0.032375774,28486.54223,1.848654223
2/5/2021,137.1470355,137.2694412,135.3558845,135.8080444,16915200,133.9069529,135.4640357,131.7790509,133.526239,23397760,133.9597902,135.7069799,131.8122792,133.6856232,26412060,0,-1,133.8869583,0.024349475,29180.17458,1.918017458
3/3/2021,134.1617567,134.4140697,127.8914711,127.9514236,37759200,141.6191603,143.3476156,137.1145471,139.7220863,39918360,142.6000529,144.8508645,139.5645834,142.1568859,36187860,0,-1,143.2999099,-0.063769427,27319.37156,1.731937156
5/6/2021,144.8937282,145.6534146,142.1223456,145.1711121,19338000,150.542196,152.0255926,148.0069724,149.8447281,22690320,151.4548275,153.8144937,149.0960338,151.5707787,32810220,0,-1,128.150528,0.130652604,30888.7186,2.08887186
7/21/2021,188.7867129,195.2355725,187.3869506,194.0657806,37101700,195.1523347,198.0010862,191.1787861,194.451709,45862680,197.0162565,199.4510803,193.9316786,196.7469292,41977920,0,-1,156.9338492,0.202970002,37158.20187,2.715820187
9/21/2021,214.1699982,214.25,209.5,212.4600067,20468800,221.4869995,222.9710022,217.6570007,220.2300018,23678960,222.5137392,224.6775785,219.4483228,222.1676796,24728865,0,-1,199.8647434,0.071574679,39817.78823,2.981778823
